event_id,account_id,event_name,event_at,user_id,properties_json
evt_001,acc_001,signup_completed,2024-01-15 10:05:00,usr_a1,"{""source"":""sales""}"
evt_002,acc_001,workspace_created,2024-01-15 10:20:00,usr_a1,{}
evt_003,acc_001,integration_connected,2024-01-16 09:00:00,usr_a1,"{""integration"":""salesforce""}"
evt_004,acc_001,report_generated,2024-01-17 14:00:00,usr_a2,{}
evt_005,acc_001,dashboard_viewed,2024-01-18 11:00:00,usr_a1,{}
evt_006,acc_002,signup_completed,2024-02-01 14:35:00,usr_b1,"{""source"":""self_serve""}"
evt_007,acc_002,workspace_created,2024-02-01 14:50:00,usr_b1,{}
evt_008,acc_002,invite_sent,2024-02-02 10:00:00,usr_b1,{}
evt_009,acc_002,report_generated,2024-02-03 16:00:00,usr_b1,{}
evt_010,acc_003,signup_completed,2024-02-20 09:20:00,usr_c1,"{""source"":""self_serve""}"
evt_011,acc_003,workspace_created,2024-02-20 09:40:00,usr_c1,{}
evt_012,acc_003,dashboard_viewed,2024-02-21 08:00:00,usr_c1,{}
evt_013,acc_004,signup_completed,2024-03-05 11:05:00,usr_d1,"{""source"":""sales""}"
evt_014,acc_004,workspace_created,2024-03-05 11:30:00,usr_d1,{}
evt_015,acc_004,integration_connected,2024-03-06 09:00:00,usr_d1,"{""integration"":""hubspot""}"
evt_016,acc_004,report_generated,2024-03-07 15:00:00,usr_d2,{}
evt_017,acc_004,api_key_created,2024-03-08 10:00:00,usr_d1,{}
evt_018,acc_005,signup_completed,2024-03-18 08:50:00,usr_e1,"{""source"":""self_serve""}"
evt_019,acc_005,workspace_created,2024-03-18 09:10:00,usr_e1,{}
evt_020,acc_006,signup_completed,2024-04-02 16:25:00,usr_f1,"{""source"":""partner""}"
evt_021,acc_006,workspace_created,2024-04-02 16:40:00,usr_f1,{}
evt_022,acc_006,invite_sent,2024-04-03 11:00:00,usr_f1,{}
evt_023,acc_006,report_generated,2024-04-04 14:00:00,usr_f2,{}
evt_024,acc_007,signup_completed,2024-04-22 12:05:00,usr_g1,"{""source"":""self_serve""}"
evt_025,acc_007,workspace_created,2024-04-22 12:20:00,usr_g1,{}
evt_026,acc_008,signup_completed,2024-05-10 09:35:00,usr_h1,"{""source"":""sales""}"
evt_027,acc_008,workspace_created,2024-05-10 10:00:00,usr_h1,{}
evt_028,acc_008,integration_connected,2024-05-11 08:00:00,usr_h1,"{""integration"":""okta""}"
evt_029,acc_008,report_generated,2024-05-12 13:00:00,usr_h2,{}
evt_030,acc_008,dashboard_viewed,2024-05-13 09:00:00,usr_h1,{}
evt_031,acc_009,signup_completed,2024-05-28 15:05:00,usr_i1,"{""source"":""self_serve""}"
evt_032,acc_009,workspace_created,2024-05-28 15:20:00,usr_i1,{}
evt_033,acc_010,signup_completed,2024-06-12 10:50:00,usr_j1,"{""source"":""self_serve""}"
evt_034,acc_010,workspace_created,2024-06-12 11:10:00,usr_j1,{}
evt_035,acc_010,invite_sent,2024-06-13 09:00:00,usr_j1,{}
evt_036,acc_010,report_generated,2024-06-14 16:00:00,usr_j1,{}
evt_037,acc_011,signup_completed,2024-07-01 13:05:00,usr_k1,"{""source"":""sales""}"
evt_038,acc_011,workspace_created,2024-07-01 13:30:00,usr_k1,{}
evt_039,acc_011,integration_connected,2024-07-02 10:00:00,usr_k1,"{""integration"":""salesforce""}"
evt_040,acc_011,api_key_created,2024-07-03 11:00:00,usr_k1,{}
evt_041,acc_011,report_generated,2024-07-04 14:00:00,usr_k2,{}
evt_042,acc_012,signup_completed,2024-07-20 11:35:00,usr_l1,"{""source"":""self_serve""}"
evt_043,acc_012,workspace_created,2024-07-20 11:50:00,usr_l1,{}
evt_044,acc_012,report_generated,2024-07-21 15:00:00,usr_l1,{}
evt_045,acc_013,signup_completed,2024-08-05 08:05:00,usr_m1,"{""source"":""self_serve""}"
evt_046,acc_013,workspace_created,2024-08-05 08:20:00,usr_m1,{}
evt_047,acc_014,signup_completed,2024-08-25 14:20:00,usr_n1,"{""source"":""sales""}"
evt_048,acc_014,workspace_created,2024-08-25 14:45:00,usr_n1,{}
evt_049,acc_014,integration_connected,2024-08-26 09:00:00,usr_n1,"{""integration"":""netsuite""}"
evt_050,acc_014,report_generated,2024-08-27 12:00:00,usr_n2,{}
evt_051,acc_014,dashboard_viewed,2024-08-28 10:00:00,usr_n1,{}
evt_052,acc_016,signup_completed,2024-09-10 09:05:00,usr_p1,"{""source"":""partner""}"
evt_053,acc_016,workspace_created,2024-09-10 09:25:00,usr_p1,{}
evt_054,acc_016,invite_sent,2024-09-11 11:00:00,usr_p1,{}
evt_055,acc_017,signup_completed,2024-09-28 16:50:00,usr_q1,"{""source"":""sales""}"
evt_056,acc_017,workspace_created,2024-09-28 17:10:00,usr_q1,{}
evt_057,acc_017,integration_connected,2024-09-29 08:00:00,usr_q1,"{""integration"":""sap""}"
evt_058,acc_017,report_generated,2024-09-30 14:00:00,usr_q2,{}
evt_059,acc_018,signup_completed,2024-10-15 10:25:00,usr_r1,"{""source"":""self_serve""}"
evt_060,acc_018,workspace_created,2024-10-15 10:40:00,usr_r1,{}
evt_061,acc_018,report_generated,2024-10-16 13:00:00,usr_r1,{}
evt_062,acc_019,signup_completed,2024-11-02 12:35:00,usr_s1,"{""source"":""self_serve""}"
evt_063,acc_019,workspace_created,2024-11-02 12:50:00,usr_s1,{}
evt_064,acc_020,signup_completed,2024-11-20 08:20:00,usr_t1,"{""source"":""self_serve""}"
evt_065,acc_001,report_generated,2024-11-01 10:00:00,usr_a1,{}
evt_066,acc_001,dashboard_viewed,2024-11-15 09:00:00,usr_a2,{}
evt_067,acc_004,report_generated,2024-11-10 11:00:00,usr_d1,{}
